Vehicle_ID,Engine_Temperature,Mileage,Oil_Pressure,Battery_Voltage,Vehicle_Speed,Failure_Status
V0001,84.2,10431,31.7,12.8,66,1
V0002,92.2,48803,44.3,12.9,78,1
V0003,82.9,38697,46.1,13.0,43,0
V0004,88.0,22093,33.5,12.3,61,1
V0005,72.6,18151,49.3,12.7,42,1
V0006,77.5,31663,39.4,11.6,58,0
V0007,76.0,34338,37.5,12.9,41,1
V0008,71.4,42055,41.9,12.2,77,1
V0009,92.9,47755,47.8,11.7,79,1
V0010,75.4,41442,49.0,12.6,42,1
V0011,92.1,29267,45.8,12.0,56,0
V0012,93.5,28545,35.5,11.5,61,0
V0013,76.5,35229,39.6,11.7,66,1
V0014,72.1,47742,30.3,11.8,68,1
V0015,78.7,31820,41.6,12.2,47,0
V0016,97.7,42816,42.5,11.6,44,0
V0017,71.7,36277,30.8,11.9,73,0
V0018,72.1,17476,35.8,12.7,65,0
V0019,94.2,20601,38.9,12.5,80,0
V0020,70.4,30334,46.2,11.9,71,0
V0021,86.2,31823,43.0,11.9,54,1
V0022,75.1,34693,31.4,11.6,48,0
V0023,84.2,34626,40.6,12.4,41,0
V0024,93.9,23567,48.6,12.9,73,1
V0025,80.2,36048,37.9,11.9,76,0
V0026,83.1,41970,34.0,12.4,40,0
V0027,97.4,13813,38.2,12.8,55,1
V0028,91.6,33762,32.3,11.7,59,1
V0029,77.7,47631,44.6,12.4,50,1
V0030,70.8,16973,42.6,12.9,80,1
V0031,90.3,47405,47.6,12.8,74,1
V0032,76.7,34515,36.2,11.6,73,1
V0033,79.6,42542,30.4,11.7,65,0
V0034,87.8,36890,40.1,11.7,53,0
V0035,86.2,39236,32.6,12.3,79,1
V0036,70.0,34487,36.6,12.1,44,0
V0037,73.7,31889,40.9,12.7,75,1
V0038,99.3,25196,47.7,12.3,58,0
V0039,71.0,22680,40.4,11.8,59,0
V0040,86.9,40566,46.5,11.7,58,1
V0041,98.8,48061,46.3,12.5,67,0
V0042,81.9,18452,33.2,12.3,76,0
V0043,86.6,34700,46.4,12.5,46,1
V0044,77.4,13511,35.8,12.0,51,0
V0045,96.2,19673,37.8,12.5,51,1
V0046,86.6,41674,42.9,12.7,73,1
V0047,87.8,20200,47.2,12.1,51,0
V0048,89.8,13662,43.6,12.5,48,1
V0049,76.2,40676,31.0,12.6,64,0
V0050,87.6,26981,30.7,12.0,74,0
V0051,90.5,40550,44.4,12.6,71,1
V0052,92.5,26135,42.2,11.6,45,0
V0053,82.5,33649,46.6,12.5,65,0
V0054,95.5,25950,30.2,12.8,80,1
V0055,85.7,32871,35.2,12.5,50,0
V0056,84.3,11304,38.4,12.8,41,1
V0057,84.0,34715,31.1,12.3,77,1
V0058,96.2,16981,36.2,12.4,46,0
V0059,79.2,39466,30.4,11.7,57,1
V0060,77.6,27895,45.8,11.7,41,1
V0061,70.2,13886,48.0,11.6,57,1
V0062,98.4,16542,44.0,12.2,72,1
V0063,81.5,33832,35.7,12.9,60,1
V0064,85.8,48784,34.0,12.5,59,1
V0065,90.1,23587,46.9,12.0,65,1
V0066,73.1,23638,33.6,11.7,44,1
V0067,98.8,45984,40.9,12.8,52,0
V0068,77.7,28480,30.1,12.7,41,1
V0069,73.8,13651,42.7,13.0,79,1
V0070,78.4,15275,35.5,13.0,50,0
V0071,76.1,11350,38.4,11.9,61,1
V0072,99.1,41439,34.7,12.7,55,0
V0073,82.7,43821,38.9,12.2,80,0
V0074,71.6,26331,35.8,12.5,52,0
V0075,72.3,47895,46.1,12.0,48,0
V0076,93.4,22817,44.4,12.5,63,1
V0077,89.3,43795,42.4,11.9,74,1
V0078,71.3,37793,32.5,12.6,56,0
V0079,99.9,41055,48.9,12.3,69,0
V0080,82.3,25946,30.9,11.8,63,1
V0081,75.4,30722,41.9,12.3,79,0
V0082,82.6,42706,45.8,11.7,65,1
V0083,76.9,26051,49.2,12.4,75,1
V0084,71.8,10547,48.9,12.9,66,1
V0085,99.6,25831,48.3,12.9,66,1
V0086,95.4,41245,46.3,11.9,61,0
V0087,86.7,38841,31.2,12.8,75,0
V0088,95.3,38612,32.5,12.3,49,1
V0089,96.8,49295,35.4,11.9,51,1
V0090,78.5,34184,46.7,12.3,54,1
V0091,89.5,27314,30.1,12.8,40,1
V0092,73.2,46875,42.4,11.6,52,1
V0093,94.4,13060,31.0,12.8,45,0
V0094,78.1,25202,30.2,11.9,47,1
V0095,78.9,25637,44.4,11.9,64,1
V0096,80.1,13034,42.3,12.7,60,1
V0097,88.2,37743,43.7,11.8,69,1
V0098,74.1,22923,32.5,12.0,42,0
V0099,85.7,46934,33.3,12.9,69,0
V0100,81.4,38110,41.7,11.8,76,1
V0101,89.3,15612,45.7,12.4,51,1
V0102,95.2,38242,46.1,12.1,63,1
V0103,93.0,20306,46.6,12.9,49,1
V0104,88.9,42135,45.2,12.4,80,1
V0105,98.8,38231,47.5,12.5,42,0
V0106,70.8,12526,41.2,12.8,59,0
V0107,99.3,15642,48.2,12.9,41,1
V0108,83.4,31610,32.5,12.9,71,0
V0109,89.7,24273,30.3,12.6,76,0
V0110,86.2,32054,31.5,12.5,45,1
V0111,80.6,29636,31.7,11.8,73,0
V0112,93.8,31027,40.3,12.9,67,0
V0113,94.2,27301,44.7,12.6,50,1
V0114,88.7,13649,32.7,12.8,63,1
V0115,92.5,34948,38.1,12.4,43,1
V0116,88.5,26281,43.8,12.1,54,1
V0117,99.6,10428,42.7,11.9,66,0
V0118,80.0,38815,32.0,12.3,66,1
V0119,97.4,10705,46.6,12.9,45,0
V0120,91.8,24387,31.8,12.5,64,1
V0121,83.9,29990,46.6,12.8,62,0
V0122,87.1,45665,44.2,12.8,64,0
V0123,97.7,12411,30.4,11.6,45,0
V0124,93.5,44408,33.1,12.0,44,0
V0125,93.4,39660,46.3,11.7,43,1
V0126,82.5,35601,32.0,12.4,40,1
V0127,92.4,40008,42.0,11.6,54,0
V0128,97.3,36401,44.0,12.4,64,0
V0129,99.1,41057,41.0,12.5,76,1
V0130,74.8,28803,30.1,12.7,49,1
V0131,85.0,34844,44.8,11.7,62,0
V0132,74.3,25715,40.1,12.2,65,0
V0133,81.6,32338,31.9,11.9,64,0
V0134,88.8,20011,32.1,11.5,45,1
V0135,84.1,25473,40.5,12.1,53,0
V0136,85.7,26655,43.4,12.3,54,0
V0137,78.1,18954,35.5,12.0,46,1
V0138,73.7,22496,37.3,11.6,66,0
V0139,86.5,47073,35.6,11.7,55,0
V0140,90.1,25964,38.2,12.8,68,1
V0141,72.2,46166,39.1,12.3,76,1
V0142,74.9,45602,35.6,12.1,48,0
V0143,75.7,42242,47.2,12.5,66,1
V0144,79.0,26560,42.6,13.0,72,0
V0145,78.5,24352,46.4,11.6,47,1
V0146,88.8,31861,30.1,12.0,58,0
V0147,70.6,16997,42.7,12.6,58,1
V0148,83.8,33293,39.0,12.1,57,0
V0149,73.2,43626,38.6,11.7,73,0
V0150,97.5,24510,39.3,12.2,49,1
V0151,74.4,22310,35.8,13.0,68,0
V0152,85.8,41424,30.1,11.6,43,0
V0153,84.2,14884,34.3,12.5,67,1
V0154,92.5,24352,45.9,12.6,43,1
V0155,95.2,23760,36.4,12.5,48,1
V0156,86.9,43193,34.9,11.8,67,1
V0157,92.0,37243,39.6,12.7,48,1
V0158,90.7,38273,38.0,11.8,47,0
V0159,81.7,29662,35.5,12.6,59,1
V0160,88.4,33269,35.7,11.5,75,0
V0161,89.2,49618,39.5,11.9,64,0
V0162,70.9,46738,36.5,12.2,63,0
V0163,83.0,19503,31.9,12.1,59,1
V0164,75.0,43370,45.5,12.3,74,0
V0165,95.8,44955,49.2,11.7,48,0
V0166,72.9,42776,31.9,12.8,57,1
V0167,98.9,28294,41.2,12.0,46,1
V0168,76.1,26871,42.4,12.1,69,1
V0169,81.0,25761,46.8,12.3,80,1
V0170,92.7,45048,41.4,12.0,71,1
V0171,74.6,48017,38.8,11.7,65,1
V0172,91.7,19154,45.0,12.0,41,1
V0173,85.2,34221,47.2,11.8,51,0
V0174,84.8,22953,46.5,11.6,65,1
V0175,94.7,48908,46.3,11.8,61,0
V0176,93.2,25129,33.2,11.5,43,0
V0177,93.0,39986,48.7,12.0,46,1
V0178,82.1,28735,32.9,12.6,53,0
V0179,81.2,36135,31.9,12.4,73,1
V0180,86.5,29674,48.6,11.6,67,1
V0181,93.1,34175,49.7,12.3,75,0
V0182,86.5,14390,48.2,12.0,48,1
V0183,84.0,46410,36.2,12.3,51,1
V0184,99.9,10704,39.3,12.5,52,1
V0185,89.3,35479,38.4,12.3,43,0
V0186,90.4,19101,38.0,12.2,64,0
V0187,77.4,33586,41.7,12.4,67,0
V0188,80.5,33703,36.0,12.1,43,0
V0189,85.7,29276,31.0,12.8,45,1
V0190,99.7,38574,30.7,11.8,52,1
V0191,72.5,19807,37.6,12.6,48,0
V0192,83.5,22231,38.4,12.0,43,1
V0193,99.2,45689,31.4,12.0,70,1
V0194,93.6,13531,47.4,11.5,80,0
V0195,78.5,36097,36.4,13.0,77,0
V0196,77.6,33124,48.7,12.4,63,0
V0197,70.6,16587,42.3,12.2,79,1
V0198,95.7,19173,47.0,11.8,70,1
V0199,76.5,44648,37.5,11.5,40,0
V0200,85.0,44850,31.2,12.3,74,1
V0201,97.0,34384,49.2,12.2,79,0
V0202,75.8,25364,34.4,12.8,50,0
V0203,71.0,32741,39.4,13.0,72,0
V0204,96.5,47724,34.9,11.7,51,0
V0205,84.9,37857,37.5,12.2,73,0
V0206,85.0,20445,34.1,12.8,41,0
V0207,81.8,23961,37.0,11.9,62,1
V0208,95.6,46806,48.7,12.1,41,1
V0209,88.8,11290,34.9,12.5,58,0
V0210,94.2,31388,47.1,12.5,47,1
V0211,97.4,10301,38.9,12.6,80,0
V0212,71.7,21264,43.8,12.2,71,0
V0213,75.3,12231,38.0,12.2,68,1
V0214,89.0,33433,43.1,11.9,65,0
V0215,97.8,32209,30.3,12.2,63,1
V0216,80.5,10033,30.6,11.9,73,1
V0217,77.4,28439,35.8,12.0,47,1
V0218,80.7,17550,40.4,12.9,48,0
V0219,88.8,28892,40.4,12.3,55,1
V0220,93.1,23251,33.7,12.6,61,1
V0221,94.1,14784,37.8,12.3,66,1
V0222,95.8,16864,48.7,12.3,67,1
V0223,88.5,11036,49.4,12.2,71,0
V0224,96.4,20688,45.3,12.1,74,1
V0225,73.1,46639,42.1,12.4,63,0
V0226,81.5,20090,32.1,12.3,69,1
V0227,81.1,10845,38.9,12.9,45,1
V0228,83.3,40285,42.1,12.6,61,0
V0229,85.7,33426,39.0,12.4,71,0
V0230,78.8,13429,46.2,12.7,65,1
V0231,95.9,16717,41.7,12.5,64,0
V0232,93.0,28287,32.7,12.7,58,1
V0233,89.9,49928,33.4,12.9,53,0
V0234,70.9,12565,39.7,12.3,72,0
V0235,78.5,41037,46.3,11.6,48,1
V0236,92.4,27181,40.0,13.0,54,1
V0237,95.6,49685,48.1,12.5,55,0
V0238,81.8,32267,43.7,12.2,66,1
V0239,98.5,20345,32.4,12.0,42,0
V0240,79.0,30782,45.6,12.3,72,1
V0241,76.4,32009,33.5,12.2,60,0
V0242,96.6,48175,47.9,12.1,41,1
V0243,99.3,36398,37.8,12.5,72,0
V0244,79.2,38259,39.5,12.4,56,0
V0245,88.6,21711,43.2,12.0,44,0
V0246,95.8,34417,45.8,12.9,40,1
V0247,78.1,40467,40.7,12.2,56,1
V0248,91.7,42077,31.0,12.2,49,1
V0249,91.6,25247,38.0,11.5,72,1
V0250,99.5,24665,49.5,12.3,51,0
V0251,90.7,36182,46.3,12.5,75,0
V0252,79.7,30832,31.4,12.1,80,1
V0253,76.1,48521,44.4,12.5,70,1
V0254,96.1,48988,34.5,11.8,48,1
V0255,83.2,36297,37.6,12.6,69,1
V0256,85.7,18722,30.4,12.3,76,0
V0257,90.0,22229,42.0,11.9,48,1
V0258,96.5,40010,31.3,11.8,63,1
V0259,92.4,13626,46.9,12.1,48,1
V0260,96.3,42422,43.8,11.9,59,1
V0261,84.0,27012,33.5,11.6,64,1
V0262,72.8,44004,39.9,11.7,44,0
V0263,72.0,14960,30.7,12.3,57,0
V0264,79.3,39762,41.2,11.7,47,0
V0265,71.8,30154,31.5,12.1,62,1
V0266,83.6,15522,43.2,12.7,42,0
V0267,71.5,17244,45.5,12.5,65,1
V0268,77.2,33889,37.3,12.4,47,0
V0269,75.3,48214,47.0,12.9,57,1
V0270,97.7,18645,44.2,12.9,59,1
V0271,95.1,30458,45.5,12.2,60,0
V0272,92.2,47190,44.6,11.7,77,1
V0273,95.1,43564,31.7,12.6,71,1
V0274,88.3,15329,48.7,11.9,62,1
V0275,81.3,12155,41.6,12.3,58,0
V0276,75.2,10696,41.3,12.3,74,0
V0277,72.7,43928,30.9,11.7,53,1
V0278,86.4,17961,32.3,13.0,72,1
V0279,74.0,24730,33.6,11.6,48,0
V0280,78.9,22119,49.9,12.3,58,0
V0281,95.7,20372,32.9,12.7,46,1
V0282,98.3,26648,49.2,12.7,52,1
V0283,79.3,40208,46.7,12.7,46,0
V0284,83.7,30529,47.6,11.7,50,1
V0285,78.0,18623,43.1,12.5,79,0
V0286,85.6,23495,47.5,11.6,76,0
V0287,83.6,13705,47.0,12.1,76,1
V0288,82.7,21634,30.4,12.9,43,0
V0289,72.9,22849,38.8,12.8,45,1
V0290,71.8,30423,36.8,12.6,68,0
V0291,82.9,15074,37.2,12.1,64,0
V0292,80.3,25098,32.2,12.1,63,1
V0293,80.7,24427,35.0,12.9,54,0
V0294,79.1,37970,44.9,11.8,76,1
V0295,80.3,10969,50.0,11.7,46,1
V0296,92.1,28224,33.9,12.2,53,1
V0297,97.8,31165,39.9,12.9,79,1
V0298,70.5,13538,37.3,11.9,70,1
V0299,75.8,30423,44.0,12.6,72,1
V0300,76.5,44330,30.7,11.9,69,0
V0301,80.2,41026,31.5,12.7,41,0
V0302,80.2,22005,41.9,12.3,78,1
V0303,96.1,23788,41.5,11.6,42,1
V0304,88.9,15057,40.8,11.8,54,0
V0305,81.9,39583,30.4,11.7,77,0
V0306,83.7,41591,39.2,11.6,62,1
V0307,89.4,14885,41.7,12.4,76,1
V0308,75.2,29778,39.7,11.8,69,1
V0309,97.6,27872,36.9,11.6,51,0
V0310,83.0,46634,41.3,13.0,66,0
V0311,83.3,24218,35.5,12.7,61,0
V0312,83.6,29418,48.3,12.7,72,0
V0313,76.3,16474,40.5,12.2,65,1
V0314,71.2,36125,31.2,13.0,67,1
V0315,88.5,42863,34.8,12.9,57,1
V0316,93.0,33373,46.2,12.6,44,1
V0317,89.2,46931,44.2,13.0,43,0
V0318,77.9,11115,40.5,12.5,60,0
V0319,87.2,12549,42.0,12.5,64,1
V0320,72.0,25283,40.3,11.5,50,1
V0321,99.6,18016,39.8,12.8,70,1
V0322,82.0,32052,30.2,12.6,54,1
V0323,83.4,45802,49.2,12.3,40,0
V0324,78.3,21969,38.0,11.9,55,1
V0325,75.1,42459,38.6,11.8,55,0
V0326,85.1,25806,32.8,11.6,54,0
V0327,90.0,34629,30.6,12.6,45,0
V0328,99.3,12395,50.0,11.9,67,0
V0329,71.6,42928,30.8,12.4,51,1
V0330,80.8,32995,40.0,12.0,46,0
V0331,87.2,16765,41.0,12.8,76,1
V0332,89.3,39895,32.4,12.7,41,1
V0333,73.1,11310,44.8,12.4,73,1
V0334,91.4,12393,37.0,12.7,65,1
V0335,99.9,25160,42.9,11.7,60,1
V0336,87.6,40037,33.1,12.3,80,1
V0337,81.2,23573,46.2,11.6,56,1
V0338,75.0,25506,34.3,11.9,49,1
V0339,85.0,30543,42.3,12.5,71,0
V0340,70.5,21111,31.1,12.5,52,1
V0341,78.2,22713,41.7,12.0,68,1
V0342,90.3,29522,33.9,13.0,61,0
V0343,76.3,19151,41.4,12.4,40,0
V0344,72.8,35672,30.1,12.3,60,1
V0345,91.9,23857,45.3,12.3,74,1
V0346,71.7,17413,40.3,12.5,50,1
V0347,77.8,40544,44.1,13.0,62,1
V0348,90.9,45747,47.5,11.6,75,1
V0349,76.4,18746,49.5,11.7,70,1
V0350,70.0,12317,32.5,12.4,60,0
V0351,92.2,40154,30.5,11.8,72,0
V0352,73.1,28394,44.7,12.2,43,1
V0353,83.2,30258,33.9,12.9,45,0
V0354,81.4,30439,46.2,12.6,42,1
V0355,75.0,18321,35.4,12.2,79,0
V0356,95.9,26524,48.0,12.4,56,1
V0357,93.7,22472,38.6,12.7,55,1
V0358,83.0,24702,40.1,11.7,55,0
V0359,96.3,40585,41.7,12.0,60,0
V0360,92.8,24734,40.2,12.8,70,1
V0361,85.8,15989,30.9,11.7,42,1
V0362,80.4,24311,36.3,12.2,40,1
V0363,71.3,40832,41.6,12.4,58,1
V0364,76.7,31246,33.0,12.0,45,0
V0365,82.9,13091,38.1,12.4,68,1
V0366,97.9,32318,31.0,12.9,71,1
V0367,99.8,17905,43.3,12.4,64,1
V0368,76.7,44955,49.9,11.8,54,1
V0369,74.7,18110,38.3,11.6,48,1
V0370,76.0,42457,40.8,11.7,63,1
V0371,90.6,46976,33.8,11.5,72,1
V0372,71.4,35699,45.6,12.2,61,1
V0373,87.6,25859,38.7,11.6,50,0
V0374,94.6,20308,48.9,12.1,54,1
V0375,91.9,47864,38.8,12.5,52,1
V0376,92.1,30546,46.3,11.9,53,0
V0377,77.4,45509,39.2,11.8,55,0
V0378,84.5,27334,48.4,11.7,69,0
V0379,79.4,49918,47.1,11.6,44,0
V0380,77.5,22578,35.6,12.3,51,1
V0381,78.1,17964,47.2,11.5,44,1
V0382,98.3,39378,41.6,12.0,51,1
V0383,75.6,18779,47.0,11.7,53,0
V0384,86.0,23633,44.8,11.9,43,1
V0385,77.3,27219,33.7,12.5,61,1
V0386,79.0,48153,46.6,11.7,75,0
V0387,91.7,30605,33.4,12.1,74,1
V0388,82.4,10995,47.6,13.0,46,1
V0389,76.3,47456,47.2,12.4,66,0
V0390,86.4,24639,41.0,12.1,74,1
V0391,94.7,35293,48.6,11.9,76,0
V0392,86.1,16691,33.8,12.4,45,0
V0393,89.8,39764,42.4,12.6,49,0
V0394,84.8,10595,43.7,12.5,79,0
V0395,95.1,19965,45.0,11.8,42,1
V0396,98.1,24817,30.3,12.4,42,1
V0397,91.1,48358,43.0,12.8,49,0
V0398,78.0,42717,36.8,11.6,58,1
V0399,83.0,18860,43.9,11.7,40,1
V0400,91.0,34066,31.0,12.9,60,1
V0401,91.2,20299,37.6,12.5,55,0
V0402,86.9,29825,37.3,12.5,40,1
V0403,84.0,24532,43.0,12.3,42,1
V0404,75.5,10702,34.6,12.3,74,0
V0405,89.6,26718,43.3,12.3,78,1
V0406,95.4,16082,36.0,12.6,61,0
V0407,96.2,19178,42.8,11.8,78,0
V0408,73.8,45167,37.4,12.5,65,1
V0409,91.3,19897,36.0,11.9,65,0
V0410,78.9,12443,50.0,12.2,68,0
V0411,96.0,18622,47.3,11.6,44,0
V0412,91.7,46918,35.9,12.6,49,1
V0413,81.1,13890,45.5,12.0,41,1
V0414,79.7,20518,49.7,12.5,75,0
V0415,70.8,33911,43.4,12.8,63,1
V0416,88.7,37167,40.6,12.2,80,0
V0417,99.2,15436,44.1,12.5,47,1
V0418,98.9,39659,42.5,12.9,63,1
V0419,83.0,29696,49.4,12.9,67,0
V0420,82.3,46437,33.9,12.5,47,0
V0421,98.1,45094,48.5,12.0,52,0
V0422,80.0,24725,40.2,12.0,49,1
V0423,83.6,11221,45.2,11.8,77,0
V0424,99.2,21424,44.7,12.3,49,0
V0425,82.4,18573,32.6,12.4,61,1
V0426,73.3,14648,38.8,12.1,59,0
V0427,81.6,37959,42.5,12.4,77,0
V0428,88.2,47420,32.6,12.5,44,1
V0429,80.9,17819,47.6,12.7,74,0
V0430,73.0,43967,30.4,12.0,45,1
V0431,79.0,37114,39.5,11.7,49,0
V0432,93.9,29597,40.6,12.2,58,1
V0433,92.1,34821,33.2,12.2,41,0
V0434,70.2,14501,39.1,12.7,66,1
V0435,81.2,10347,32.9,11.6,43,1
V0436,87.7,41649,38.8,11.8,63,0
V0437,89.8,49945,37.0,11.8,44,1
V0438,94.4,11174,47.6,12.6,51,1
V0439,80.5,27466,33.2,12.2,79,1
V0440,99.7,41653,40.4,11.9,43,0
V0441,94.1,17963,32.7,12.6,45,0
V0442,77.9,18110,43.4,12.7,44,1
V0443,88.2,12341,48.7,11.7,66,0
V0444,80.0,26372,44.0,12.1,53,0
V0445,83.9,24195,33.0,11.5,40,1
V0446,85.0,48310,42.6,11.5,65,1
V0447,99.2,34832,38.2,11.8,74,0
V0448,79.3,48635,45.4,12.4,66,1
V0449,84.1,23925,32.1,12.4,55,1
V0450,87.9,19390,43.8,12.2,69,0
V0451,87.4,10748,42.8,12.3,64,0
V0452,85.8,41826,40.0,12.5,58,1
V0453,74.9,16437,42.6,12.7,47,1
V0454,78.2,24450,40.6,12.3,63,1
V0455,70.1,34274,34.8,11.8,77,0
V0456,81.7,47527,38.8,12.6,43,1
V0457,77.9,25130,34.9,11.8,50,1
V0458,92.1,38446,32.5,12.8,40,0
V0459,71.0,30155,38.5,12.5,58,0
V0460,79.6,12268,30.6,13.0,55,1
V0461,88.1,33466,39.1,12.1,46,1
V0462,71.2,41858,32.0,11.7,74,1
V0463,87.5,12782,46.1,12.8,61,0
V0464,81.3,46590,37.3,12.0,57,0
V0465,84.0,36625,48.3,11.5,67,1
V0466,78.7,42503,46.3,11.9,57,1
V0467,70.3,26606,30.6,12.6,46,1
V0468,98.5,26802,40.8,11.8,64,0
V0469,79.4,18266,30.1,12.2,45,1
V0470,77.4,23384,35.5,12.6,49,1
V0471,81.7,10472,49.0,11.7,66,0
V0472,94.3,43467,49.6,12.4,73,1
V0473,78.1,16803,35.1,12.0,70,0
V0474,97.6,36176,47.0,12.7,50,1
V0475,74.8,14145,32.4,12.7,79,0
V0476,99.6,38437,39.0,12.4,79,1
V0477,99.7,21239,46.6,11.9,41,1
V0478,95.4,21235,46.2,12.2,74,0
V0479,91.4,45315,38.8,12.1,49,0
V0480,88.7,22086,42.9,11.7,50,1
V0481,90.1,35277,33.5,12.0,54,1
V0482,78.1,33458,49.5,12.5,70,1
V0483,78.0,30657,37.0,12.3,52,0
V0484,83.4,40716,40.4,12.0,40,1
V0485,87.1,32372,40.2,11.9,63,1
V0486,88.1,45557,39.6,12.1,61,1
V0487,71.5,40709,42.8,12.9,53,0
V0488,72.0,47222,39.1,11.9,71,0
V0489,79.3,43694,42.3,11.7,59,0
V0490,93.0,21257,41.9,11.8,79,1
V0491,70.7,26537,49.4,12.5,62,0
V0492,90.5,42586,46.6,12.7,72,1
V0493,85.8,31297,44.7,12.7,61,0
V0494,73.4,26394,37.3,12.4,50,0
V0495,72.9,42459,48.6,12.7,69,1
V0496,79.0,26760,45.2,11.8,62,1
V0497,96.0,39874,32.7,12.7,61,0
V0498,91.9,47779,42.3,13.0,53,1
V0499,70.8,27085,43.3,11.7,64,0
V0500,95.6,43775,30.4,12.4,73,1
